Gene,HCC_122_N,HCC_122_T,HCC_34_N,HCC_34_T,HCC_36_N,HCC_36_T,HCC_37_N,HCC_37_T,HCC_77_N,HCC_77_T,HCC_12_N,HCC_12_T,HCC_13_N,HCC_13_T,HCC_15_N,HCC_15_T,HCC_19_N,HCC_19_T,HCC_1_N,HCC_1_T
SNAR-F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-G1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-G2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAR-I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNCA,0.5,0.32,0.1,0.03,0.66,0.12,1.23,0.13,0.37,0.35,0.13,0.65,0.07,0.05,0,0.05,0.39,0.06,0.11,1.61
SNCAIP,0.19,0.37,0.12,0.73,0.27,1.18,1.31,0.61,0.03,0.06,0.06,0.6,0.02,0.06,0.57,0.65,1.01,0.56,0.47,1.54
SNCB,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.18
SNCG,2.28,7.84,0.57,0.59,3.47,2.83,11.71,2.38,3.57,3.26,0.57,3.08,1.45,6.34,0.68,5.64,10.31,1.72,2.93,26.64
SND1,33.92,59.71,19.06,47.87,31.18,34.33,40.24,53.27,36.73,55.62,30.76,38.11,43.33,127.44,20.81,68.07,38.15,91.51,36.47,92.4
SNED1,1.64,7.51,0.27,0.78,0.89,0.68,1.11,0.15,1.29,2.31,1.13,0.99,0.38,0.25,0.75,0.4,2.05,0.91,1.56,2.36
SNF8,24.25,36.11,23.92,45.44,34.45,34.08,43.67,43.91,24.51,21.19,34.61,36.89,30.44,68.93,21.78,44.51,27.9,56.48,26.34,55.95
SNHG1,6.84,10.49,6.02,12.51,20.39,9.94,30.27,16.27,6.4,5.43,4.11,12.71,3.94,19.04,8.13,15.55,18.66,12.72,8.59,26.76
SNHG10,0.8,3.02,0.99,1.44,1.88,0.55,3.74,1.51,0.87,0.65,1.01,1.71,0.77,1.65,2.38,0.22,1.89,1.34,0.83,2.32
SNHG11,4.08,7.3,4.06,3.44,3.92,8.06,6.91,3.3,4.34,5.13,4.48,6.12,8.82,9.01,4.15,8.15,8.17,5.9,10.05,13.43
SNHG12,2.98,4.67,1.92,1.43,5.69,1.21,12.16,3.53,2.48,2.45,2.24,2.59,2.95,9.27,0.98,3.01,6.17,2.88,3.58,11.2
SNHG3,1.82,3.79,1.41,2.11,4.21,1.34,11.07,10.96,2.24,1.5,1.58,4.15,1.27,13.74,0.87,7.33,4.03,3.71,2.1,8.06
SNHG4,0,0.74,0,0.27,0.17,0.3,0,0.83,0.19,0.19,0,0.7,0,3.54,0.29,0.6,0.28,0.69,0.12,1.09
SNHG5,143.7,128.93,159.45,253.44,206.84,49.05,294.79,178.76,92.36,22.24,37.22,31.77,40.48,92.8,111.93,128.1,80.17,73.56,193.75,600.57
SNHG6,42.84,42.82,43.95,49.73,79.66,65.61,151.65,93.16,33.05,26.77,39.71,39.01,31.44,210.37,41.15,316.86,94.28,90.82,50.16,201.49
SNHG7,11.79,12.49,2.33,4.63,7.54,3.03,25.62,10.41,8.23,7.5,5.13,8.43,6.7,19.5,3.71,7.72,25.85,18.76,12.26,60.4
SNHG8,226.98,489.92,285.01,542,455.42,320.02,463.08,667.65,147.46,137.83,150.5,255.11,296.3,265.99,232.07,270.45,191.28,391.5,93.79,277.21
SNHG9,19.55,63.04,18.36,7.93,14.79,10.2,68.96,14.16,29.74,49.45,60.38,52.37,67.55,70.11,4.79,9.41,48.39,86.82,43.42,123.23
SNIP1,5.76,2.87,3.38,6.21,5.64,1.75,8.69,7.62,4.38,4.72,3.97,7.43,2.42,6.43,3.86,6.27,4.62,6.27,3.57,5.07
SNN,4.71,2.9,2.05,4.22,6.81,2.29,13.5,4.35,3.56,3.72,2.24,4.55,1.41,4.31,1.69,4.52,6.56,5.03,3.26,7.5
SNORA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,0,0
SNORA10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.84,0,0
SNORA11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.24,0,10.17
SNORA11B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORA11C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORA11D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORA11E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORA12,0,0,0,8.5,21.69,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,13.45
SNORA13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.92,0,0
SNORA14A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.62,0,0
SNORA14B,0,39.15,0,0,0,0,0,0,0,0,0,8.13,0,0,0,9.17,0,14.95,0,0
SNORA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,0
SNORA16A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92,0,0
SNORA16B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORA17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.71,0,0
SNORA18,0,0,0,0,0,0,14.75,11.15,0,0,11.04,29.25,21.89,8.32,0,33.21,0,107.53,8.04,0
SNORA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.71,0,0
SNORA20,0,0,0,0,17.81,0,0,0,15.38,0,0,0,0,0,0,11.07,0,71.69,0,0
SNORA21,0,0,0,0,0,0,0,0,0,0,0,0,0,15.63,0,0,0,109.43,15.11,0
SNORA22,0,0,0,0,0,0,0,9.78,13.3,0,0,0,0,7.35,0,0,0,55.47,14.22,8.45
SNORA23,0,0,0,0,0,0,0,0,0,0,1.57,4.06,0,1.14,0,1.4,0,17.53,0,0
SNORA24,0,0,18.88,0,0,0,0,0,0,0,23.54,10.4,0,17.76,0,11.84,11.14,28.68,0,0
SNORA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORA26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.84,0,0
SNORA27,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75,0,0,0,13.71,0,14.51
SNORA28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.43,0,0
SNORA29,0,0,0,0,0,0,26.97,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORA2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORA2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORA3,0,0,0,0,0,0,0,0,0,0,12.58,11.13,0,9.5,0,0,0,255.52,9.18,0
SNORA30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORA31,0,0,0,0,0,0,0,0,17.93,0,0,11.13,0,9.5,0,0,0,286.18,0,0
SNORA32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.38
