Gene,HCC_122_N,HCC_122_T,HCC_34_N,HCC_34_T,HCC_36_N,HCC_36_T,HCC_37_N,HCC_37_T,HCC_77_N,HCC_77_T,HCC_12_N,HCC_12_T,HCC_13_N,HCC_13_T,HCC_15_N,HCC_15_T,HCC_19_N,HCC_19_T,HCC_1_N,HCC_1_T
FOXI2,0,0.01,0,0,0,0,0.02,0.01,0,0.01,0,0,0,0,0,0.01,0.02,0.04,0.02,0
FOXI3,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0
FOXJ1,0.12,0,0.08,0,0.4,0,0.89,0.3,0.41,0.02,0,0.06,0,0.01,0,0,0.16,0,0.71,1.12
FOXJ2,1.77,3.51,1.1,0.22,3.04,2.55,4.1,2.78,1.53,2.32,1.26,1.74,0.56,1.04,1.11,1.88,2.89,2.85,1.9,4.91
FOXJ3,5.67,6.14,2.98,5.11,6.61,2.54,8.16,5.6,3.32,4.45,3.04,4.78,1.2,7.59,3.91,5.07,4.44,5.45,3.45,5.66
FOXK1,1.28,2.23,0.23,0.48,0.66,0.5,1.4,0.77,0.94,1.6,0.46,0.68,0.39,0.93,0.64,0.64,1.18,1.13,0.78,2.56
FOXK2,4.31,4.9,1.19,1.88,3.04,3.03,5.12,3.52,3.91,5.15,5.43,6.74,5.39,6.75,1.91,3.89,3.4,5.35,2.46,5.1
FOXL1,0.08,0.01,0.05,0.03,0.47,0.14,1.39,0.26,0.07,0.18,0.02,0.34,0.02,0.02,0.07,0,0.25,0.01,0.05,0.69
FOXL2,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.01,0
FOXM1,0.24,0.62,0.17,1.82,0.55,1.12,0.57,5.95,0.15,0.15,0.09,0.5,0.17,7.63,0.86,8.36,0.66,5.72,0.4,3.87
FOXN1,0,0,0,0,0,0,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0
FOXN2,5.19,5.58,3.71,10.39,5.7,6.78,6.56,3.61,2.36,5.23,2.03,4.5,1.04,7.27,1.79,7.46,4.2,5.63,1.93,3.98
FOXN3,10.86,14.9,5.8,18.18,7.9,10.18,11.25,10.68,7.28,9.31,5.58,8.14,3.86,10.06,5.22,5.93,7.44,13.31,5.53,6.73
FOXN4,0.18,0.12,0.01,0,0,0.95,0,0,0.03,0.18,0.23,1.14,0,0.13,0,0.96,0.08,0.06,0.09,0.05
FOXO1,15.1,9.05,6.88,4.87,7.66,6.33,12.33,4.17,8.36,12.3,13.57,6.76,6.4,1.52,9.39,1.97,7.33,4.3,4.68,6.94
FOXO3,9.11,4.58,3.24,9.81,6.85,5.08,14.36,3.81,6.03,5.57,4.93,4.68,2.17,6.67,2.95,4.33,7.1,6.93,5.43,14.2
FOXO3B,0.12,0.15,0.09,0.13,0.32,0.05,0.31,0.11,0.11,0.04,0.03,0.1,0.03,0.16,0.07,0.13,0.32,0.09,0.1,0.24
FOXO4,2.79,9.22,1.74,3.58,2.78,2.22,4.02,1.93,2.72,3.36,2.49,3.74,1.83,3.61,1.43,6.44,4.65,9.46,3.49,5.72
FOXP1,6.23,4.07,2.77,7.16,5.07,3.58,8.77,7.68,3.57,7.97,2.33,3.82,3.13,5.67,3.85,5.28,3.39,7.05,3.14,8.02
FOXP2,1.37,0.03,0.82,0.08,0.27,0.03,0.77,0.59,0.84,0.92,0.66,0.32,0.2,0.01,0.61,0.01,0.39,0.42,0.37,0.16
FOXP3,0.59,6.53,0.1,0.12,0.84,0.13,2.33,1.27,1.35,0.98,0.5,0.6,0.53,0.45,0.2,0.42,2.23,0.74,11.24,2.94
FOXP4,5.05,10.22,0.9,1.59,1.55,1.46,1.94,1.09,4.81,5.15,2.83,4.06,2.34,1.48,1.98,1.89,3.76,6.27,3.76,5.33
FOXQ1,0.45,0.1,0.66,0.62,1.73,0.28,2.68,0.6,0.6,0,1.73,0.3,0.29,0.7,1.26,4.13,0.85,0.02,0.81,2.42
FOXR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXRED1,17.17,13.12,12.49,21.45,11.57,10.28,13.43,20.22,17.09,18.12,36.22,19.63,23.09,12.54,15.98,48.88,26.65,34.66,27.01,21.17
FOXRED2,2.61,2.82,0.85,9.23,1.99,2.7,1.74,7.4,2.32,6.76,2,2.87,1.71,4.57,1.49,5.15,2.74,5.91,2.33,4.84
FOXS1,0.1,0.15,0.04,0,0.23,0.14,0.72,0.28,0.05,0.36,0.05,0.32,0,0.26,0,0.07,1.47,0.07,0.67,6.78
FP588,0.05,0.2,0.06,0.1,0.08,0.05,0.05,0.01,0.03,0.04,0.05,0.1,0.02,0.07,0.04,0.04,0.13,0.05,0.09,0.16
FPGS,17.83,24.45,5.74,8.1,4.8,3.79,12.35,5.67,15.43,13.92,12.65,9.1,19.47,17.53,13.29,7.03,13.17,11.39,14.58,23.57
FPGT,1.45,3.22,4.27,9.4,5.1,3.06,5.04,4.27,2.42,2.89,1.7,2.36,1.34,4.92,1.52,4.25,3.25,5.67,2.47,2.46
FPGT-TNNI3K,0.08,0.15,0,0,0,0.14,0.26,0.05,0.07,0.1,0,0.05,0,0,0,0.2,0.37,0,0.1,0.32
FPR1,9.94,3.82,3.93,0.55,13.84,0.87,20.28,5.74,11.34,12.73,6.93,18.04,2.29,1.92,6.86,1.47,14.54,1.63,1.53,4.7
FPR2,1.11,0.38,0.26,0.1,1.35,0.07,1.54,0.59,1.47,1.65,0.21,0.47,0.19,0.08,0.18,0.02,0.83,0.17,0.04,0.06
FPR3,7.75,1.83,6.83,1.78,20.63,3.03,28.09,12.15,5.73,6.48,2.29,18.03,1.19,7.64,5.7,5.97,11,3.58,2.42,8.95
FRA10AC1,2.35,3.95,4.38,7.37,6.15,5.15,7.51,7.41,2.09,2.27,3.93,4.61,2.35,4.66,2.45,5.58,4.2,4.88,2.83,6.7
FRAS1,0.11,0,0.13,0.01,0.68,0.01,1.1,1.2,0.03,0.01,0.09,0.01,0.04,1.13,0.03,0.03,0.84,0.03,0.32,0.42
FRAT1,3.48,3.28,2.59,5.44,2.21,2.02,2.07,2.05,2.4,3.1,3.3,3.21,1.93,3.16,1.6,4.02,3.01,4.05,3.53,7.07
FRAT2,4.78,4.5,6.09,10.31,10.65,6.81,5.67,8.28,5.29,4.73,5.29,6.11,4.24,12.37,3.15,9.71,4.64,3.52,5.67,9.89
FREM1,0.14,0,0.04,0.06,0.38,0.04,0.71,0.18,0.04,0,0.14,0.02,0.03,0.1,0.05,0.09,0.76,0,0.15,0.44
FREM2,0.29,0.01,0.97,0.01,0.86,0,0.41,0.01,0.69,0.01,0.72,0.01,0.37,0,0.98,0.01,0.64,0.01,1.22,0.12
FREM3,0.02,0.01,0,0,0.01,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01
FRG1,18.46,21.21,36.87,53.26,55.28,30.58,54.92,39.95,19.29,17.65,21.35,30.56,15.89,7.12,38.04,35.55,24.49,30.84,22.29,35.7
FRG1B,3.23,5.46,5.78,14.41,13.8,11.22,11.86,10.24,5.31,8.47,2.98,8.64,2.13,9.25,4.97,13.43,6.24,13.19,4.24,9.33
FRG2,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0.01,0,0.01,0.01,0,0,0
FRG2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
FRG2C,0,0.02,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0
FRK,1.37,0.84,1.44,2.32,2.05,1.5,2.23,1,1.46,1.62,0.97,0.29,0.33,3.38,0.93,2.75,1.68,8.03,1.48,1.61
FRMD1,0.01,0,0.02,0,0.03,0.03,0,0,0.11,0,0.02,0.03,0.04,0.24,0,0.01,0.04,0.22,0.04,0.07
FRMD3,0.22,0.79,0.02,0.23,0.4,0.07,0.77,1.07,0.21,0.56,0.11,0.44,0.02,0.34,0.27,0.55,0.49,3.85,0.19,0.44
FRMD4A,4.09,3.13,2.25,0.41,4.22,1.13,5.15,1.29,2.72,2.43,0.82,1.87,0.99,2.06,1.9,2.46,3.66,0.7,2.35,3.47
FRMD4B,12.03,5.12,3.38,4.28,8.41,2.95,11.5,6.59,5.75,9.02,11.61,17.08,1.8,4.31,7.03,6.15,5.14,4.35,3.38,3.98
FRMD5,0.09,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0.1
FRMD6,3.59,0.87,3.05,0.94,4.35,2.47,6.27,0.89,2.3,1.78,0.63,4.88,0.67,1.4,1.61,3.71,3.88,4.46,1.73,2.29
FRMD7,0.02,0.01,0.01,0,0.02,0.01,0,0.17,0.05,0.12,0.03,0.12,0,0,0,0.02,0.03,0.58,0.01,0
FRMD8,3.66,4.07,1.32,1.89,2.72,0.9,4.83,2.29,4.15,4.79,1.7,4.8,1.65,3.71,2.47,2.31,5.17,7.12,3.47,7.85
FRMPD1,0.15,0.05,0.2,0,0.89,0.58,0.36,0,0.29,0.06,0.09,0.02,0.23,0.52,0.28,0.5,0.52,1.05,0.89,0.44
FRMPD2,0.01,0,0,0,0.15,0.06,0.09,0.15,0.01,0.04,0,0,0,0.01,0.13,0.1,0,0,0.01,0.05
FRMPD2P1,0.02,0,0,0,0,0,0.09,0.16,0,0,0,0,0,0.02,0.21,0.05,0,0,0,0.04
FRMPD4,0,0,0,0,0.01,0,0.02,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0.01
FRRS1,7.03,8.43,3.71,10.07,3.51,5.17,2.19,11.25,5.77,11.16,3.19,10.39,1.6,16.97,3.22,13.49,4.07,12.07,4.87,4.18
FRS2,3.17,2.72,1.97,3.52,3.78,3.23,4.17,3.06,2.04,3.11,1.05,2.82,0.64,2.1,1.11,3.02,1.8,6,1.28,2.49
FRS3,1.15,3.08,0.39,0.66,0.38,0.16,1.44,0.57,1.01,0.53,0.47,0.55,0.59,0.51,0.43,0.65,1.51,2.29,1.28,2.6
FRY,3.35,2.91,1.61,2.75,1.97,2.18,3.8,3.14,1.96,2.19,1.8,2.81,1.14,1.54,0.83,2.59,2.3,3.3,2.39,3.41
FRYL,1.44,2.23,1.09,1.77,2.42,2.27,4.1,1.98,1.04,1.51,0.75,1.44,0.26,1,0.95,1.09,2.08,2.09,1.04,2.13
FRZB,0.89,1.8,1.52,1.21,6.38,1.41,22.48,3.37,0.64,1.57,0.38,6.47,0.26,0.25,0.67,0.56,11.03,2.98,1.79,13.74
FSCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSCN1,7.2,6.22,1.17,0.96,1.91,0.6,7.63,2.29,8.76,5.47,1.1,4.52,2.58,3.79,0.43,0.97,7.62,3.57,4.38,13.46
FSCN2,0.03,0.03,0,0,0,0,0.07,0,0.06,0.04,0.03,0,0.07,0.02,0,0,0.06,0,0,0.1
FSCN3,0.09,0,0,0.02,0.02,0,0.12,0.02,0,0,0,0.03,0,0.02,0,0,0,0,0,0
FSD1,0.24,0.02,0.07,0,0.02,0,0,0,0.1,0.11,0.16,0.3,0.07,0.17,0,0.09,0.14,0.12,0.09,0.24
FSD1L,0.41,0.23,0.14,0.21,0.57,0.21,1.22,0.21,0.14,0.16,0.03,0.16,0,0.62,0,0.29,0.15,0.39,0.21,0.43
FSD2,0,0,0.02,0,0.07,0,0,0,0.01,0.01,0.04,0.02,0,0.02,0,0,0,0,0,0
FSHB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSHR,0,0,0,0,0.06,0,0.14,0.02,0,0.01,0,0,0,0,0,0,0.08,0,0,0.14
FSIP1,0.03,0.09,0.11,0.02,0.23,0.22,0.21,0.03,0.02,0.06,0.04,0.05,0.04,0.25,0,1.88,0.11,0.25,0.04,0.19
FSIP2,0.01,0,0,0,0.01,0.01,0,0.02,0,0.01,0,0,0,0,0,0.04,0.01,0.03,0.01,0
FST,37.58,14,33.86,18.28,5.52,20.62,19.13,28.9,26.28,39.71,41.56,45.13,51.63,68.98,66.68,125.81,32.04,26,22.28,17.16
FSTL1,16.93,7.76,7.16,3.27,56.52,8.8,60.93,26.13,21.17,10.61,8.2,30.74,7,3.92,7.8,3.88,25.12,6.66,12.53,67.63
FSTL3,12.01,1.97,1.93,0.35,22.57,2.29,37.87,2.25,13.86,6.02,2.23,21.33,2.9,0.84,2.98,0.57,10.87,6.54,12.23,60.51
FSTL4,0.01,0.02,0,0.22,0.04,0.14,0.04,0.11,0.03,0,0,0.59,0.05,2.43,0.02,0.98,0.05,0.04,0.01,0.32
FSTL5,0.01,0,0,5.02,0,0,0.04,1.46,0,0.01,0,0,0.06,2.51,0,0.3,0.04,3.38,0.11,0.02
FTCD,262.69,504.21,35.56,15.36,18.72,21.03,26.63,9.79,270.27,220.25,196.86,70.51,279.31,31.87,81.84,24.09,216.03,54.46,341.84,100.89
FTH1,1511.96,1343.92,1595.35,2142.84,2290.53,2517.15,2520.56,2867.58,1251.65,1546.87,1282.39,1802.93,1737.66,2837.86,1433.05,1272.8,1292.88,1431.5,1198.68,2660.17
FTH1P3,0.05,0.06,0,0.1,0.05,0,0,0.05,0.04,0.18,0.07,0.35,0,0.14,0.1,0.1,0.06,0.05,0.14,0
FTHL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0
FTL,6779.33,7523.43,5412.47,18575.41,4654.35,10470.18,6497.71,19211.52,7427.42,8944.73,10426.48,9793.41,12187.23,39280.08,8887.86,4013.39,7430.84,11224.61,6359.54,16314.47
FTLP10,0.06,0.03,0.03,0.03,0.03,0.03,0,0,0.04,0.04,0,0,0.04,0.06,0,0.03,0,0,0.03,0.04
FTMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTO,4.87,5.63,2.72,9.48,6.95,5.69,7.27,6.87,4.64,6.04,2.82,5.43,2.42,3.74,2.9,8.7,5.61,17.55,4.52,7.38
FTSJ1,5.97,7.02,4.23,6.24,8.21,5.13,13.01,9.99,5.04,4.68,3.65,8.63,3.94,13.34,4.13,11.37,7.89,12.36,6.17,15.83
FTSJ2,7.79,9.09,10.36,16.96,17.32,11.5,13.2,15.41,7.38,10.25,7,11.69,7.36,9.06,7.74,13.62,9.04,16.36,11.22,17.2
FTSJ3,6.8,9.73,5.74,13.91,11.96,9.24,13.44,24.04,6.62,9.19,7.02,12.42,6.04,17.84,5.03,23.66,10.01,20.76,7.72,13.33
FTSJD1,4.82,4.14,5.08,7.63,7.56,5.47,9.54,5.21,3.18,4.1,2.45,3.89,0.78,2.53,3.42,2.79,3.91,7.73,3.35,4.5
FTSJD2,6.31,15.29,5.01,9.65,8.51,5.74,11.61,10.54,8.04,13.26,5.76,11.36,4.59,6.42,8.66,17.96,11.77,13.47,7.58,13.02
FTX,0.03,0.48,0.22,0.4,0.24,0.31,0.87,0.05,0.08,0.14,0.15,0.29,0.03,0.29,0.12,0.32,0.33,0.23,0.21,0.79
FUBP1,7.37,7.62,6.51,18.3,16.18,7.99,22.08,17.82,6.54,8.42,4.28,13.54,2.77,25.39,4.74,18.32,12.12,6.41,5.72,12.99
FUBP3,18.57,18.67,13.25,21.21,17.64,15.38,17.34,16.33,13.52,15.96,5.66,11.36,5.37,19.7,13.01,12.78,9.1,20.95,10.71,13.45
FUCA1,44.65,52.02,56.7,54.49,85.39,58.1,40.7,66.15,44.51,73.04,54.88,37.42,31.29,32.67,50.59,78.21,55.75,45.29,46.88,33.7
FUCA2,25.28,8.28,33.62,40.78,52.63,67.68,38.6,50,29.59,29.02,19.79,15.05,19.92,131.13,26.36,66.82,23.93,38.01,24.24,45.81
FUK,2.8,5.48,1.43,1.79,1.9,1.29,2.11,1.44,4.12,4.73,2.78,2.77,2.53,1.99,0.95,2.57,3.81,6.45,2.43,4.81
FUNDC1,5.37,3.13,8.96,8.9,18.87,12.84,15.04,12.55,5.31,3.36,3.79,6.57,3.63,12.14,3.58,7.19,7.68,8.02,6.63,13.75
FUNDC2,8.41,12.29,14.26,12.63,23.71,11.48,31.64,13.62,7.91,11.77,14.96,18.27,15.74,9.94,11.11,12.4,15.28,13.34,8.17,27.39
FUNDC2P2,0.03,0.03,0,0,0.03,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.04
FURIN,50.27,90.02,20.64,9.82,15.68,40.32,22.61,7.45,97.32,151.01,57.96,39.78,67.03,38.06,44.25,61.39,61.37,30.94,107.15,34.62
FUS,21.91,24.01,9.16,26.21,22.34,16.37,34.5,26.24,15.67,13.77,9.48,24.81,13.17,35.41,11.67,31.78,17.62,25.25,20.25,44.78
FUT1,0.27,1.19,0.23,0.34,0.94,0.36,1.09,0.14,0.51,0.23,0.43,0.56,0.15,1.6,0.22,0.57,0.84,0.44,0.3,1.42
FUT10,0.75,0.68,0.95,0.16,1.27,1.7,1.46,0.42,0.55,0.53,0.4,1.02,0.2,1.39,0.33,0.72,1.05,1.18,0.88,1.51
FUT11,1.48,1.54,0.37,1.27,1.69,0.63,2.68,2.34,1.59,1.75,0.22,1.35,0.53,1.12,0.99,1.3,2.14,1.71,0.95,2.18
FUT2,0.09,0.13,0.18,0.13,0.58,3.61,0.35,0.05,0.2,0.17,0.21,0.22,0.21,0.62,0.08,0.08,0.25,0.91,0.3,1.34
FUT3,0.55,0.32,0.42,0.11,0.76,0.16,2.12,0,0.29,0.06,0.12,0.02,0.06,0.08,0,0.14,1.06,0.05,0.92,1.38
FUT4,0.63,0.13,0.6,0.06,2.05,0.17,3.16,0.47,1.22,0.27,0.24,0.29,0.26,0.79,0.38,0.79,2.02,1.15,0.83,1.37
FUT5,0.32,0.12,0.07,0,0,0,0.06,0,0.05,0.12,0.06,0.02,0.13,0.02,0.1,0.04,0.09,0.02,0.2,0.03
FUT6,4.71,2.43,2.39,0.85,2.25,4.65,2.18,0.22,5.92,9.65,0.65,0.83,3.32,4.69,2,4,3.7,0.55,2.8,5.69
FUT7,0.16,0.06,0.04,0,0.02,0.04,0.16,0,0.05,0.04,0.02,0.04,0,0.03,0,0.03,0.62,0.09,0.05,0.31
FUT8,0.99,0.36,0.79,0.13,3.7,0.68,6.09,1.85,0.69,0.3,0.41,1.1,0.15,0.87,0.22,0.73,3.03,0.74,0.71,2.35
FUT9,0,0,0,0,0,0,0,0.03,0,0,0,0.01,0,0,0,0,0,0,0,0.01
FUZ,2.61,2.26,1.32,0.08,2.63,0.25,4.36,1.43,2.62,1.44,2.43,1.04,2.02,0.26,1.88,1.27,4.82,1.1,2.49,4.6
FXC1,7.63,9.66,7.82,9.91,13.7,7.9,14.56,9.04,5.87,7.34,5.57,8.27,4.4,9.88,3.51,13.47,7.31,12.72,5.66,9.77
FXN,3.84,3.69,5.5,6.31,4.97,3.15,2.39,4.72,6.98,6.66,3.53,6.16,5.68,5.26,3.77,3.92,3.05,4.01,3.88,3.51
FXR1,7.1,6.31,5.16,19.78,9.1,7.58,9.77,15.21,5.37,5.9,5.09,8.31,3.8,35.46,4.2,12.44,7.1,12.09,5.6,9.85
FXR2,6.03,11.78,3.72,7.12,6.65,5.96,8.88,10.89,7.93,5.37,7.11,11.69,7.27,9.06,7.5,7.87,9.41,12.69,7.31,12.32
FXYD1,259.13,323.78,126.16,6.87,51.85,27.06,97.98,27.45,143.62,103.89,483.67,308.14,468.27,74.11,181.56,50.94,272.5,510.12,269.79,141.79
FXYD2,12.21,0.38,18.15,0.55,154.77,7.49,210.44,0.25,52.71,0,28.37,0.35,26.23,22.09,14.14,2.68,191.96,0.53,76.02,103.6
FXYD3,0.06,0,0.65,0,1.85,0,0.39,0,0.31,0.18,0.3,0,0.36,1.41,0.54,0.06,0.96,0.72,1.34,0.75
FXYD4,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FXYD5,30.03,11.21,9.31,4.21,30.61,21.01,78.53,24.17,18.73,12.33,12.49,29.55,7.55,7.3,15.88,69.27,52.66,6.56,19.91,83.98
FXYD6,11.73,11.29,5.93,3.23,11.77,2.52,36.67,3.55,8.33,6.27,4.9,16.37,5.01,2.46,6.98,1.79,28.52,6.04,11.49,39.73
FXYD6-FXYD2,0,0,0.06,0,0.05,0,0.81,0.09,0.04,0.17,0,0,0,0.06,0,0,0.08,0,0.16,0.17
FXYD7,0.23,0.09,0,0,0,0,0.48,0,0,0,0.1,0,0.21,0,0,0,0.18,0,0.07,0.37
FYB,2.95,1.19,2.87,0.8,8.07,1.19,26.97,5.57,2.26,3.04,0.7,3.57,0.96,2.28,2.42,2.25,6,1.36,0.81,4.09
FYCO1,3.02,5.65,2.1,4.19,5.11,2.79,6.72,3.26,3.84,5.15,1.8,4.38,1.08,5.34,1.7,4.32,4.13,6.86,3.35,5.57
FYN,8,7.25,8.51,15.56,12.43,7.24,43.33,14.54,8.22,6.73,8.93,9.36,7.97,4.46,12.58,7.64,15.95,5.18,9.14,13.76
FYTTD1,9.43,12.96,9.28,15.57,19.4,12.34,22.68,16.23,9.08,9.18,6.46,10.81,2.75,21.55,6.29,12.1,11.09,16.33,7.53,9.45
FZD1,1.72,0.2,1.51,0.17,4.67,0.52,5.42,1.4,1,0.71,0.42,0.68,0.51,0.47,0.51,0.42,2.94,0.56,1.81,4.04
FZD10,0.06,0,0,0,0.02,0,0.12,0,0,0.02,0,0.07,0,0,0,0,0.14,0,0,0.13
FZD2,0.15,0.03,0.02,0.01,0.25,0.04,0.14,0.12,0.06,0.08,0,0.07,0.02,0.09,0.09,0.05,0.37,0.07,0.14,0.77
FZD3,0.16,0.25,0.26,0.01,0.55,0.76,0.6,0.2,0.21,0.2,0.1,0.06,0.09,0.12,0.08,0.16,0.28,0.43,0.17,0.4
FZD4,3.03,7.83,2.81,4.26,4.89,3.54,4.85,2.41,4.85,5.56,3.52,5.09,2.22,1.52,3.71,2.23,4.49,5.94,5.46,10.03
FZD5,6.07,8.53,5.4,6.55,6.08,8.63,3.22,6.91,6.55,7.55,6.96,5.79,3.92,4.7,4.81,6.34,4.11,3.87,4.77,4.85
FZD6,2,3.55,1.64,3.44,6.33,3.25,7.13,2.49,2.01,1.51,0.29,0.76,0.05,2.32,0.71,3.92,3.51,7.74,1.25,4.78
FZD7,0.62,0.09,0.56,0.06,1.82,1.04,3.01,0.56,0.45,0.04,0.07,0.37,0.12,2.82,0.36,0.3,2.01,0.77,0.55,3.72
FZD8,1.57,0.18,0.64,0.42,1.16,0.43,1.89,0.36,1.42,0.1,0.5,0.72,0.87,0.18,0.58,0.33,1.68,0.49,1.75,2.72
FZD9,0.03,0.02,0,0,0,0,0,0.04,0.04,0.04,0,0.02,0,0.12,0,0.03,0.11,0.06,0.02,0.09
FZR1,11.36,11.07,1.11,2.18,2.01,1.84,4.29,1.39,7.73,7.19,4.81,4.94,5.5,5.7,3.68,5.31,8.83,9.8,6.18,8.23
G0S2,262.21,156.87,55.13,19.05,60.96,45.06,26.84,289.67,248.62,124.71,172.92,169.15,41.4,17.34,21.08,2.65,27.62,139.67,37.1,28.52
G2E3,1.04,1.11,1.11,1.82,2.18,1.95,3.24,1.63,0.84,1.24,0.49,0.99,0.24,2.19,0.4,1.41,1.29,1.68,0.5,1.31
G3BP1,16.8,26.24,17.82,57.2,29.12,17.06,32.69,52.52,16.92,21.4,13.6,23.85,8.19,43.41,9.42,35.25,17.09,72.53,13.36,20.69
G3BP2,15.06,16.15,13.24,17.34,24.56,14.98,31.66,30.57,13.91,19.59,8.92,17.97,3.56,15.83,7.34,9.75,14.74,24.38,12.31,14.89
G6PC,186.05,147.68,163.11,108.87,40.48,31.57,66.52,234.48,285.91,317.56,252.98,103.45,155.43,94.92,241.44,347.71,148.18,305.69,100.1,33.9
G6PC2,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
G6PC3,6.85,8.06,2.62,2.3,4.29,2.3,11.04,5.94,8.28,6.41,4.21,6.37,4.83,10.59,5.85,6.62,13.36,11,5.85,14.77
G6PD,3.33,3.31,0.54,1.52,1.8,1.39,5.71,13.76,2.52,3.65,1.59,3.43,1.48,18.9,0.63,5.25,4.23,6.06,1.99,12.58
GAA,35.41,31.52,4.77,1.15,5.52,4.71,10.94,8.47,37.19,44.31,12.96,20.12,22.65,54.51,12.94,12.94,30.25,48.68,25.64,30.26
GAB1,1.76,2.41,1.11,1.94,2.23,0.95,4.35,2.18,0.83,1.28,0.85,1.35,0.27,0.95,0.58,0.93,2.45,2.19,0.92,2.24
GAB2,2.39,4.2,0.48,2.29,2.03,1.38,3.54,2.58,1.73,5.25,0.74,2.55,0.32,2.25,0.94,7.28,2.56,4.33,1.08,4.19
GAB3,0.62,0.31,0.48,0.12,1.32,0.18,2.93,0.6,0.34,0.37,0.24,0.93,0.09,0.28,0.21,0.48,1.39,0.24,0.45,1.78
GAB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABARAP,296.36,280.85,273.48,339.23,485.72,312.57,405.27,446.2,235.46,154.27,329.97,322.4,313.4,175.71,368.07,238.15,359.91,352.29,249.88,514.94
GABARAPL1,84.4,52.15,62.1,103.02,102.47,67.09,89.18,42.51,96.17,146.41,111.75,34.83,70.03,11.44,103.59,55.4,98.18,52.84,131.2,67.47
GABARAPL2,53.96,63.96,66.59,135.61,120.11,76.64,124.25,88.08,49.27,49.4,44.62,65.93,38.05,46.38,41.45,39.85,76.94,110.84,49.26,108.05
GABARAPL3,0,0,0,0,0,0,0,0,0.02,0,0.03,0.03,0.03,0.02,0,0,0,0,0,0
GABBR1,1.33,1.19,0.29,0.05,1.2,0.16,2.93,0.16,0.51,0.44,0.53,0.69,0.23,0.15,0.97,0.06,1.86,0.14,1.33,4.47
GABBR2,0.02,0,0.09,0,0.41,0.47,0.16,0.08,0.03,0.03,0,0.31,0.02,0.02,0.07,0.01,0.26,3.21,0.09,1
GABPA,5.47,7.27,6.28,8.64,9.29,8.4,13.16,8.35,3.55,3.03,1.8,2.79,0.79,5.7,3.12,5.45,3.96,10.52,2.06,3.33
GABPB1,4.56,3.95,3.24,6.69,6.29,4.93,9.29,8.2,4.06,4.28,2.59,5.07,1.58,5.23,1.78,5.63,3.8,6.42,2.27,4.36
GABPB2,1.38,4.7,1.01,5.18,2.09,1.8,2.2,2.08,1.2,0.77,1,1.27,0.28,0.96,0.06,3.42,1.43,1.32,1.06,2.19
GABRA1,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0
GABRA2,0,0,0,0,0,0,0,0,0,0,0.02,0,0,3.02,0,0,0.04,0,0.15,0.1
GABRA3,0,0.02,0,0.91,0,0,0,0.17,0.01,0,0,0,0,0,0,0,0.02,0.6,0,0
GABRA4,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
GABRA5,0.01,0.02,0.11,0,2.11,0.02,0.1,0,0.08,0,0.64,0.02,0,0,0,0.03,0.41,0,1.5,0.13
GABRA6,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABRB1,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0
GABRB2,0.02,0,0.01,0.01,0,0,0.04,0,0,0.03,0,0.03,0,0.01,0,0.03,0.01,0,0.01,0.03
GABRB3,0.18,0.01,1.86,0.01,4.93,0.01,0.45,0,0.29,0.01,0.26,0.03,0.64,7.08,0.8,0.02,1.25,0.01,5.86,0.49
GABRD,0.11,1.05,0,0.07,0.06,0.05,0.59,0.09,0.25,0.87,0.03,0.26,0.03,0.44,0,0.19,0.3,1.27,0.23,1.16
GABRE,1.65,21.26,0.78,0.28,2.69,2.32,1.88,0.26,1.18,0.32,0.4,1.91,0.32,1.55,0.65,1.35,0.66,0.08,1.83,7.59
